company,price,weight,star_rating,total_comments,adult,chicken,wet,from_ocean,fish,tuna,salmon,mackerel,shrimps,milk,can,gravy,pouch,liver,grilled,turkey,ham,vegan
purepet,189.0,1.2,4.2,8285.0,1.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
purepet,879.0,7.0,4.3,11737.0,1.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
whiskas,1900.0,7.0,4.5,8056.0,1.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
purepet,189.0,1.2,4.2,8285.0,1.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drools,719.0,4.2,4.1,4557.0,1.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
meat,429.0,2.4,4.0,4522.0,1.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
let's,121.0,1.0,4.1,3166.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whiskas,369.0,1.1,4.5,12982.0,0.5,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
whiskas,808.0,3.0,4.5,6133.0,1.0,0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
whiskas,387.0,1.2,4.5,8056.0,1.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
whiskas,387.0,1.2,4.5,3589.0,1.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
let's,199.0,0.8,4.1,3166.0,0.5,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
whiskas,432.0,1.02,4.5,3674.0,1.0,1,0.5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
drools,719.0,4.2,4.1,4557.0,1.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
meat,450.0,2.4,4.1,4847.0,0.5,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
